ClassIndex,rr,PreAcc,PostAcc,TotalAcc
+ IDX0,0.172000000,0.9887754917144775,0.9836734533,0.9582999944686
+ IDX1,0.28600000000000003,0.9947136640548706,0.9973568320274353,0.4977000057697296
+ IDX2,0.11199,0.96705424785614, 0.971899211406,0.97079998254
+ IDX3,0.15400000000000003,0.9663366079330444,0.9821782112121582,0.9434000253677368
+ IDX4,0.14400000000000002,0.9592667818069458,0.9551934599876404,0.967199981212616
+ IDX5,0.20799999999999996,0.9820627570152283,0.9674887657165527,0.9203000068664551
+ IDX6,0.17800000000000005,0.9864300489425659,0.9843423962593079,0.9452000260353088
+ IDX7,0.18799999999999994,0.9747081995010376,0.9805447459220886,0.9061999917030334
+ IDX8,0.212,0.9743326306343079,0.9763860106468,0.866199970245361
+ IDX9,0.15400000000000003,0.9702675938606262,0.9781962633132935,0.9545999765396118
